Subject,Repetition,Parameter,Accumbens,Amygdala,Caudate,Cerebellum White Matter,Cerebral White Matter,Hippocampus,Pallidum,Putamen,Thalamus Proper,Ventral DC,Basal Forebrain,ACgG anterior cingulate gyrus,AIns anterior insula,AOrG anterior orbital gyrus,AnG angular gyrus,Calc calcarine cortex,CO central operculum,Cun cuneus,Ent entorhinal area,FO frontal operculum,FRP frontal pole,FuG fusiform gyrus,GRe gyrus rectus,IOG inferior occipital gyrus,ITG inferior temporal gyrus,LiG lingual gyrus,LOrG lateral orbital gyrus,MCgG middle cingulate gyrus,MFC medial frontal cortex,MFG middle frontal gyrus,MOG middle occipital gyrus,MOrG medial orbital gyrus,MPoG postcentral gyrus medial segment,MPrG precentral gyrus medial segment,MSFG superior frontal gyrus medial segment,MTG middle temporal gyrus,OCP occipital pole,OFuG occipital fusiform gyrus,OpIFG opercular part of the inferior frontal gyrus,OrIFG orbital part of the inferior frontal gyrus,PCgG posterior cingulate gyrus,PCu precuneus,PHG parahippocampal gyrus,PIns posterior insula,PO parietal operculum,PoG postcentral gyrus,POrG posterior orbital gyrus,PP planum polare,PrG precentral gyrus,PT planum temporale,SCA subcallosal area,SFG superior frontal gyrus,SMC supplementary motor cortex,SMG supramarginal gyrus,SOG superior occipital gyrus,SPL superior parietal lobule,STG superior temporal gyrus,TMP temporal pole,TrIFG triangular part of the inferior frontal gyrus,TTG transverse temporal gyrus
Sub-01,1,MT,0.8868432008,0.8286839172,1.008666748,1.395740889,1.500104796,0.8149287018,1.274451991,1.012665804,1.181514578,1.257024919,0.8126064518,0.8719241586,0.7378486179,0.9358590243,0.957461036,0.9756255111,0.8350941056,0.9155230216,0.7553965166,0.8440799981,0.848353561,0.9601203647,0.9904780301,1.074724022,0.9534635827,0.9105956592,0.93526239,0.8490719222,0.947942285,0.9751343901,0.9979054061,0.9847758395,0.8090036029,0.883678363,0.9722789542,0.9721058855,1.082673939,1.088228304,0.9557672485,1.101718995,0.9851201259,0.9469910736,0.8528311651,0.8196519439,0.9703487143,0.874231549,0.9469226844,0.8072025368,1.047569336,0.874391063,0.8947414291,1.02374612,1.03011159,0.9615880441,0.9936509629,0.9254282382,0.9438388287,0.7342797937,0.935654306,0.8782422792
Sub-02,1,MT,1.201315924,0.8250544975,0.9574254175,1.331359564,1.442981172,0.7768757141,1.315147651,1.053009785,1.142623205,1.080669568,0.6355668405,0.8027132964,0.7249633292,0.8953856613,0.8334900508,1.018546778,0.7135534054,0.8063648859,0.6004333051,0.8038301009,0.7835089517,0.8614578975,0.8935033338,0.9691147686,0.8883390006,0.8661630371,0.8551203962,0.8469982435,0.8330454898,0.9216987371,0.8917739732,1.017015138,0.9198399879,0.9242827458,0.8401145284,0.8783792525,0.7567863213,1.108716119,0.7777306834,0.9292191502,0.85574012,0.8423304248,0.6778340197,0.7203589866,0.8560614009,0.8104856993,0.9359961296,0.8985341724,0.9399420571,0.9822889586,0.8788012763,0.9076323454,0.918419641,0.8168067842,0.8296666334,0.7732096253,0.802173508,0.6963464785,0.7597467684,0.7279124666
Sub-03,1,MT,0.927768681,0.7866546446,0.8453613652,1.315135481,1.464588398,0.7631473036,1.303083903,1.020446523,1.09103247,1.147998166,0.4773088725,0.8230579826,0.7042248941,0.9622699024,0.8784909324,0.9738437755,0.7971559416,0.8658324849,0.7720656618,0.9292786078,0.6485382878,0.9235146364,0.8447884856,0.9513520311,0.9241426568,0.9148151786,0.8990285858,0.9491589571,0.8641904291,0.8964401745,0.8746084147,0.9327213698,1.029090482,0.8633943318,0.8157485662,0.9208835676,0.9278849527,0.9797631074,0.8645296664,0.8748418347,0.8589998459,0.8582740874,0.8081698654,0.6762039676,0.9447729632,0.8507415325,0.8385340401,1.037824012,0.9585636425,0.8935031384,0.7353581809,0.8536240038,0.8590915146,0.8851103646,0.775902732,0.8489494926,0.8403895623,0.7567617015,0.852718981,0.9390823908
Sub-04,1,MT,0.9612926792,0.8908713066,1.005668195,1.44711913,1.572209948,0.7953559979,1.360917849,1.031656308,1.202096622,1.325187319,0.9155650658,0.9476097954,0.808269917,1.045778386,1.051036991,1.017367422,0.8856598331,0.9339130526,0.850345243,0.8354514714,0.979061849,0.933648907,1.10879151,1.206205754,1.036599274,0.9966105912,1.009826503,1.048658894,0.9882550515,1.108746528,1.186681099,1.06429943,1.075527551,1.004370241,1.011479122,1.035651567,1.246094743,1.069330893,0.9648117618,1.033225714,1.032903516,1.030679446,0.929896084,0.8920606785,0.8524339736,1.042472587,0.9740286332,0.8180155878,1.160742436,1.039808469,0.9533559521,1.079397597,0.9940010551,1.061332911,1.11877515,1.034587073,0.8584314772,0.8546945224,0.9913750449,0.8839740879
Sub-05,1,MT,0.8539226375,0.8173830526,1.007452253,1.31078291,1.468553559,0.7645857472,1.286201858,0.9821525204,1.092515956,1.126888855,0.8073391476,0.9063205804,0.8178254898,0.9339267172,0.9871101178,0.8978213006,0.7871562706,0.9558185098,0.7798851685,0.6908324491,0.7652302671,0.8086327709,0.9449636482,1.06249948,0.9092312966,0.7720706453,0.8810157259,0.8538210921,0.8559623376,0.9128264279,1.035440469,0.8741608361,0.6486838142,0.5557098848,0.7769327196,0.9799625343,1.115659394,1.008049115,0.9397607186,0.8379354672,0.8313753668,0.7896410034,0.6687990122,0.811916926,0.7814969109,0.920083201,0.8776322108,0.7423236273,0.9426636855,0.9609004495,0.7831123564,0.9203212559,0.8198975079,0.9343985548,0.9229063906,0.7697741964,0.9404812657,0.789799479,0.9122289695,0.7595233725
Sub-06,1,MT,0.8598631457,0.7671800858,0.9992304436,1.401677145,1.484563219,0.7954965599,1.319750564,1.021943818,1.113675609,1.198529094,0.6897499171,0.8736221608,0.7715381194,0.8259559339,0.9491087549,1.072283131,0.8522543053,1.024026701,0.8138861623,0.8548712938,0.6542928401,0.8843322866,1.00523582,0.9639691178,0.948017976,0.670550199,0.6973860696,0.9458430168,0.9463606825,0.9080790096,0.9412109208,0.9502020352,1.127921696,0.9927983538,0.9362255826,0.9161426626,0.9841072472,0.6828709598,0.9037504238,0.8491714717,1.000290404,0.9707711781,0.7794037574,0.8649968919,1.066830036,0.9517654771,0.7532997243,0.9114522195,0.9437433676,1.08040601,0.7667558158,0.9410574043,1.046417306,0.866670391,1.116258318,0.8566545354,0.8517869329,0.7443416834,0.8244073675,1.036272871
Sub-01,2,MT,0.8592744552,0.8180795872,0.9780655034,1.369578933,1.479963444,0.7975938441,1.259814867,1.006354173,1.16782464,1.248837545,0.8220112001,0.8599629711,0.7355904807,0.9224874894,0.9369508271,0.9635853014,0.8278607863,0.9217861519,0.752252028,0.839228584,0.8029905154,0.9513149175,0.9565127132,1.06127642,0.9284042764,0.9013228607,0.9341803614,0.8243640442,0.948649134,0.9522171195,0.9901854112,0.9446810956,0.8215435329,0.8674236956,0.9656805365,0.9470269622,1.080764412,1.077779076,0.9394171389,1.082359898,0.9896022224,0.9575506591,0.8365030309,0.8051490726,0.9675768872,0.8554256515,0.963870728,0.798430483,1.019751017,0.863849191,0.8926549236,0.9887625396,0.9845269861,0.9466600348,0.9899269952,0.9242750101,0.9211269047,0.7337609985,0.9219017056,0.8636414508
Sub-02,2,MT,1.160740015,0.8531449766,0.9427589455,1.372293607,1.478457466,0.7919946382,1.34144574,1.050672069,1.171602514,1.131818393,0.6664027709,0.8227711404,0.7167007056,0.8648883553,0.8725810196,1.045378888,0.7094440118,0.8376104216,0.6189074245,0.7750481103,0.7998411164,0.867619126,0.8923259871,0.9309679372,0.9009637978,0.8951714495,0.7673623192,0.8664858849,0.8368459396,0.9574158884,0.8858464028,0.9806965868,0.9405028006,0.9432812479,0.884851246,0.8946172228,0.7473227142,1.099247643,0.7955147675,0.9225443916,0.8738527059,0.8795146756,0.6925414742,0.749529462,0.8527698621,0.8567714764,0.912067853,0.9069087108,0.9944221382,1.013323421,0.859576791,0.9473192441,0.9353722123,0.8317068078,0.8258470326,0.817152604,0.8143104504,0.6982505033,0.7823480447,0.747863684
Sub-03,2,MT,0.9003673928,0.8175827066,0.8214348146,1.323662946,1.447557129,0.7444237764,1.321261267,1.011174042,1.098632876,1.179239852,0.4569401835,0.7979969514,0.6872306069,0.9389700012,0.8552149184,0.9795688016,0.8026898123,0.860727153,0.7783616949,0.9171793114,0.6640936685,0.9229607191,0.8443522151,0.9526695605,0.9308727261,0.9141271867,0.8881685314,0.9416261703,0.865988724,0.8789867865,0.8722968333,0.9137358815,1.039900499,0.889509001,0.8068690375,0.9061685582,0.9951207358,0.9964540357,0.8550848913,0.8514156125,0.8464727713,0.835031776,0.7973944198,0.6604503985,0.9598342332,0.8432269952,0.8172874864,0.9956029424,0.9576408442,0.8937273752,0.7028751567,0.8514572845,0.8539422236,0.8786998343,0.770281952,0.827542518,0.8446110935,0.7480392317,0.8355306846,0.9244042456
Sub-04,2,MT,0.9987995349,0.8620536826,0.9975042664,1.487163177,1.556687853,0.7669836988,1.345829644,1.040312376,1.173725762,1.245441692,0.9179016805,0.9213855064,0.8174736588,1.036385975,1.062016115,1.023751985,0.8861303964,0.9345170481,0.8566495626,0.8499681661,0.9652674275,0.937825324,1.074644281,1.20819682,1.001794046,1.009721583,1.014986936,1.053312062,0.9911390126,1.072473391,1.182541985,1.067344223,1.060495443,0.9939593347,0.98272046,1.036619344,1.223284514,1.053092894,0.9475632276,1.030915885,1.034546077,1.033712489,0.9532728405,0.8756813679,0.8261963996,1.022331992,0.9806819277,0.7803332117,1.148405169,1.028549268,0.9353445741,1.064518424,0.9933133751,1.064820302,1.117683789,1.031209978,0.8561104152,0.8348682069,0.9673262223,0.859308252
Sub-05,2,MT,0.8559242221,0.7980251655,0.9865708512,1.325391736,1.455396821,0.7685061019,1.252745026,0.9690438076,1.080871318,1.135077379,0.8470606989,0.88733608,0.8112781811,0.8951224643,0.9848346697,0.9030688968,0.7906614263,0.9564117719,0.7747069884,0.690983264,0.733853454,0.8230898848,0.9046603614,1.041342,0.9053069441,0.7859172134,0.8543810928,0.8561526675,0.8452950735,0.87829064,1.017503169,0.8428324564,0.6412891192,0.5605302604,0.7573151001,0.9724221505,1.109130009,1.008897047,0.9258494216,0.8441222315,0.8303297693,0.7955833538,0.675272044,0.8183081654,0.790218246,0.888697916,0.8846711091,0.7322184153,0.909400063,0.9581470158,0.7905195861,0.8988648627,0.8138473341,0.926190166,0.902770191,0.7538307172,0.9378595173,0.7683936396,0.8950566354,0.7693441589
