Subject,Repetition,Parameter,Accumbens,Amygdala,Caudate,Cerebellum White Matter,Cerebral White Matter,Hippocampus,Pallidum,Putamen,Thalamus Proper,Ventral DC,Basal Forebrain,ACgG anterior cingulate gyrus,AIns anterior insula,AOrG anterior orbital gyrus,AnG angular gyrus,Calc calcarine cortex,CO central operculum,Cun cuneus,Ent entorhinal area,FO frontal operculum,FRP frontal pole,FuG fusiform gyrus,GRe gyrus rectus,IOG inferior occipital gyrus,ITG inferior temporal gyrus,LiG lingual gyrus,LOrG lateral orbital gyrus,MCgG middle cingulate gyrus,MFC medial frontal cortex,MFG middle frontal gyrus,MOG middle occipital gyrus,MOrG medial orbital gyrus,MPoG postcentral gyrus medial segment,MPrG precentral gyrus medial segment,MSFG superior frontal gyrus medial segment,MTG middle temporal gyrus,OCP occipital pole,OFuG occipital fusiform gyrus,OpIFG opercular part of the inferior frontal gyrus,OrIFG orbital part of the inferior frontal gyrus,PCgG posterior cingulate gyrus,PCu precuneus,PHG parahippocampal gyrus,PIns posterior insula,PO parietal operculum,PoG postcentral gyrus,POrG posterior orbital gyrus,PP planum polare,PrG precentral gyrus,PT planum temporale,SCA subcallosal area,SFG superior frontal gyrus,SMC supplementary motor cortex,SMG supramarginal gyrus,SOG superior occipital gyrus,SPL superior parietal lobule,STG superior temporal gyrus,TMP temporal pole,TrIFG triangular part of the inferior frontal gyrus,TTG transverse temporal gyrus
Sub-01,1,MT,0.8960606596,0.8244255813,1.005096803,1.377826978,1.490905168,0.8174510269,1.272785821,1.01355556,1.17339013,1.242107525,0.7984453963,0.8697524999,0.7345259205,0.9321894485,0.9481029875,0.967418811,0.826357162,0.9055493176,0.7470819602,0.8351762496,0.835097267,0.9545179508,0.9810891248,1.067241865,0.9486058173,0.9020421032,0.9332194502,0.8476098844,0.9426017643,0.9680088867,0.9923850794,0.9831363168,0.7970031326,0.8740073844,0.9643609395,0.9669011708,1.074772669,1.072077122,0.9504395564,1.095264671,0.9805459079,0.9348315649,0.8456290784,0.8141482562,0.9555554637,0.8578840288,0.9411237224,0.7993842855,1.036131917,0.8691730199,0.8978311848,1.013242956,1.02031085,0.954058094,0.9826189305,0.9092691256,0.9372160367,0.7332725299,0.9306146089,0.8716963966
Sub-02,1,MT,1.192617233,0.8213383587,0.9503513906,1.320991771,1.432607932,0.7765975184,1.311247279,1.051877198,1.134438839,1.068103789,0.6244793223,0.8007389694,0.7206657242,0.8853800837,0.8254065679,1.009901395,0.7056593654,0.7997254874,0.5967850926,0.7967025092,0.7682057882,0.857923037,0.889071396,0.9619579732,0.8840141512,0.8606192588,0.847278744,0.8453189593,0.8281351866,0.9099792029,0.8956289483,1.011855174,0.9053633882,0.9141062454,0.8309021604,0.8731120424,0.7828173544,1.097206576,0.7645387468,0.9205887099,0.850328952,0.8326248876,0.675578347,0.7143143198,0.8426143444,0.7955563805,0.9282737732,0.893266242,0.9250190206,0.9666514488,0.8752764073,0.8925769657,0.9081212747,0.8021297337,0.831210981,0.7595135473,0.7957450961,0.6945418383,0.7505029233,0.7213811911
Sub-03,1,MT,0.9270608208,0.781613767,0.8383067466,1.302790892,1.454118936,0.7578476325,1.300331263,1.021360827,1.080839739,1.13494244,0.46664394,0.8185407604,0.6971954616,0.9553428359,0.86177227,0.9613243904,0.7909990189,0.854193813,0.7651632652,0.9208972837,0.6240732454,0.9209412643,0.8360966552,0.9389195446,0.9209669075,0.9089095022,0.8860970976,0.9340862771,0.8633969766,0.8769655541,0.8617004884,0.9279299031,1.015251057,0.8548668792,0.8058797063,0.9127750751,0.9093020363,0.972536114,0.8479950516,0.86476929,0.85338759,0.8473481892,0.8096660062,0.668862337,0.9327618379,0.8241806681,0.8301143149,1.023508611,0.9354501226,0.8776921604,0.7337503501,0.8291339914,0.8490957631,0.8665200293,0.758130281,0.8237211039,0.8279965131,0.7505853714,0.8345357332,0.9181596728
Sub-04,1,MT,0.9750089087,0.8876058391,0.9979730178,1.432840162,1.562717721,0.7945359026,1.358510191,1.03356872,1.192457851,1.310086432,0.9094606127,0.9438088761,0.8036704993,1.031880645,1.035899518,1.006857551,0.8835990847,0.9227540511,0.8437633547,0.8317668344,0.9547725682,0.9310597534,1.099229754,1.193352127,1.029612536,0.9917419948,0.9955174693,1.041162474,0.9800081544,1.090829578,1.172432883,1.053333419,1.063221703,0.993655469,1.002279719,1.022483798,1.229695676,1.058620545,0.950959178,1.027513406,1.020717381,1.022458257,0.9261458664,0.8846896172,0.8475740324,1.019143228,0.9617066012,0.8116273612,1.135004365,1.017096106,0.9517569182,1.055986294,0.9833898901,1.042547719,1.099396826,1.020147513,0.845690934,0.8445699288,0.9754963337,0.8728149637
Sub-05,1,MT,0.8579103522,0.8155430602,0.9995555944,1.300314477,1.459276202,0.7653258369,1.28345726,0.9827810793,1.08293185,1.114722105,0.771941885,0.9001192468,0.8121439779,0.9165330931,0.9730769985,0.8908966766,0.7809128329,0.9469665537,0.7745931424,0.6845221042,0.739991215,0.8046212539,0.9344007719,1.051529167,0.8995139714,0.765828851,0.8660840316,0.8507927296,0.8486322442,0.898040121,1.020381943,0.8620674418,0.629413147,0.5494944545,0.7679871082,0.96766245,1.085355733,0.986123002,0.9304105074,0.8282792729,0.8146186435,0.7777148364,0.6667517974,0.803034166,0.7723405844,0.8980002381,0.861986862,0.7398983799,0.9243747278,0.9521598808,0.7794886884,0.898908432,0.8088837214,0.9209399118,0.9000002942,0.7430190288,0.9254375588,0.7824717626,0.8994314129,0.749701165
Sub-06,1,MT,0.8638561202,0.7660243325,0.9947808666,1.385908365,1.476292075,0.7986466352,1.317440182,1.022857373,1.107483003,1.182886495,0.6655091326,0.8740890959,0.7684067807,0.8508252232,0.9400497423,1.065740506,0.846611616,1.013599436,0.8081108244,0.8481591562,0.650129513,0.881224428,1.003257724,0.9532114662,0.9426046423,0.6597876318,0.7235350078,0.9441810642,0.9445629389,0.8974930122,0.9296492986,0.9589470286,1.120156632,0.9883225928,0.9306597137,0.9111377766,0.9816621558,0.67530804,0.893899351,0.8533351649,0.9957182369,0.9638730526,0.7720972068,0.8607615434,1.056977886,0.9333136102,0.766266204,0.9007538118,0.9284512895,1.072411119,0.7679904412,0.9275798492,1.038959984,0.856879034,1.103426469,0.8430764223,0.8463781885,0.735254744,0.8163943894,1.023114298
Sub-01,2,MT,0.8692191407,0.813176294,0.9741845089,1.351414888,1.470210494,0.8006941853,1.258066952,1.006430325,1.158989974,1.231996439,0.7965471166,0.8586431911,0.7315368324,0.9125483066,0.9274676545,0.9543174106,0.818146047,0.9116778004,0.7441712951,0.8297488654,0.7862123298,0.9455724828,0.9432505575,1.053516094,0.9229438662,0.8927651124,0.9241282156,0.8216335384,0.9443753546,0.9430330272,0.9839510283,0.9368866338,0.8070226622,0.859690935,0.9559397553,0.9409509419,1.071334751,1.064231222,0.9319585198,1.071475176,0.9823660933,0.9445183308,0.8303119572,0.8000167798,0.9541879706,0.8354603937,0.9536030209,0.7903692848,1.006545621,0.8563303923,0.8908670707,0.9741383005,0.9740322966,0.9367854905,0.9771524871,0.908156073,0.9115736824,0.7291758976,0.9126586863,0.856385244
Sub-02,2,MT,1.148582132,0.8505630778,0.9378611475,1.361381977,1.468162316,0.7935404902,1.3374697,1.049208642,1.163929051,1.1186461,0.649355157,0.8232074959,0.7133664322,0.8575484262,0.8642752928,1.033938824,0.7017416767,0.8294265927,0.6149849438,0.7688984019,0.7888740077,0.8643839323,0.8844450102,0.927986385,0.8975688308,0.8886480337,0.7747456358,0.8644913856,0.831512499,0.9466573217,0.8875077658,0.9729724959,0.9306619423,0.9344707962,0.8749318015,0.887833907,0.7824057182,1.088222966,0.7833898631,0.9210862698,0.8667313019,0.8688965714,0.6914159692,0.7435241031,0.8389474548,0.840907305,0.9072461442,0.9022298569,0.9769962374,0.997566013,0.8598713165,0.9328681014,0.9258403048,0.8167627358,0.8297712174,0.8024550816,0.8066296766,0.6971378106,0.7718279532,0.7407054178
Sub-03,2,MT,0.9012492104,0.811419609,0.8159478492,1.311169826,1.438085627,0.7453880689,1.318530493,1.011892615,1.091304364,1.164022098,0.4369760756,0.7951107582,0.6813792753,0.9395304323,0.8426051049,0.9685372303,0.794815908,0.8532556503,0.774120882,0.9073022059,0.6443076477,0.9190979028,0.8408900856,0.9365657774,0.9285512834,0.9074294658,0.8782510629,0.9324906439,0.8650319449,0.864725895,0.8608434353,0.9119728002,1.020103674,0.8794151225,0.7979674494,0.9000617111,0.9693312644,0.9870596204,0.8427004951,0.8452213493,0.8400790719,0.8252497827,0.7916773678,0.6576444934,0.9493848162,0.8226313106,0.8112860897,0.991846764,0.939444264,0.8804591638,0.7022454877,0.8315593414,0.8447374593,0.8638296656,0.7593313165,0.8057496291,0.8335167892,0.7461949418,0.821676669,0.9062223192
Sub-04,2,MT,1.013074304,0.8590642082,0.9935264944,1.474027253,1.548223727,0.766043927,1.344444469,1.042248617,1.167549579,1.230664245,0.9121006594,0.9193877559,0.8126526672,1.024071234,1.051352107,1.015330458,0.8815627476,0.9253807878,0.8514579678,0.843495693,0.9452112155,0.9321682264,1.066871359,1.199013799,0.9952308238,1.002729378,1.003294151,1.048978979,0.9856217479,1.059413237,1.171077174,1.05716228,1.052092232,0.9834915578,0.9743295597,1.027087808,1.208848348,1.039563475,0.9390441764,1.029718027,1.024899107,1.025032877,0.9430635988,0.8686109454,0.8206136334,1.005480197,0.9713901476,0.7800370648,1.129311902,1.017231057,0.9340445022,1.045562206,0.984679135,1.051820752,1.102104604,1.018104167,0.8462352492,0.829102157,0.9525742534,0.8539151997
