Subject,Repetition,Parameter,Accumbens,Amygdala,Caudate,Cerebellum White Matter,Cerebral White Matter,Hippocampus,Pallidum,Putamen,Thalamus Proper,Ventral DC,Basal Forebrain,ACgG anterior cingulate gyrus,AIns anterior insula,AOrG anterior orbital gyrus,AnG angular gyrus,Calc calcarine cortex,CO central operculum,Cun cuneus,Ent entorhinal area,FO frontal operculum,FRP frontal pole,FuG fusiform gyrus,GRe gyrus rectus,IOG inferior occipital gyrus,ITG inferior temporal gyrus,LiG lingual gyrus,LOrG lateral orbital gyrus,MCgG middle cingulate gyrus,MFC medial frontal cortex,MFG middle frontal gyrus,MOG middle occipital gyrus,MOrG medial orbital gyrus,MPoG postcentral gyrus medial segment,MPrG precentral gyrus medial segment,MSFG superior frontal gyrus medial segment,MTG middle temporal gyrus,OCP occipital pole,OFuG occipital fusiform gyrus,OpIFG opercular part of the inferior frontal gyrus,OrIFG orbital part of the inferior frontal gyrus,PCgG posterior cingulate gyrus,PCu precuneus,PHG parahippocampal gyrus,PIns posterior insula,PO parietal operculum,PoG postcentral gyrus,POrG posterior orbital gyrus,PP planum polare,PrG precentral gyrus,PT planum temporale,SCA subcallosal area,SFG superior frontal gyrus,SMC supplementary motor cortex,SMG supramarginal gyrus,SOG superior occipital gyrus,SPL superior parietal lobule,STG superior temporal gyrus,TMP temporal pole,TrIFG triangular part of the inferior frontal gyrus,TTG transverse temporal gyrus
Sub-01,1,MT,0.8200017126,0.7280913275,0.9366748164,1.236878768,1.447995435,0.7181288145,1.125661878,0.9224416903,1.028417484,1.061163369,0.709653307,0.8646003621,0.6986968098,0.9756974427,0.9620653429,0.9201709466,0.7918695844,0.8811901494,0.673342054,0.8191301906,0.9146038066,0.8689831317,0.994128417,1.068514431,0.9034061238,0.8319965975,0.9674173423,0.8172050968,0.9559227898,1.018164146,1.0034427,0.9842165617,0.8265285904,0.8883442564,1.016696645,0.9401106493,1.07045906,1.045955171,0.9523173004,1.106112677,0.9020230551,0.9098086668,0.7379637346,0.748245102,0.9233876414,0.8852371233,0.9151828039,0.7525245719,1.069523613,0.8384879518,0.8365407745,1.090111607,1.055791876,0.9676667616,0.987412012,0.9401707621,0.9076939001,0.7066376693,0.9603717341,0.8165420063
Sub-02,1,MT,1.112467865,0.7330140541,0.9092203344,1.181320379,1.422227147,0.6914149088,1.177094293,0.9766197905,1.010653673,0.9239857576,0.564452486,0.8117333039,0.7010350226,0.946522643,0.8522401338,0.9733594442,0.695322342,0.778809812,0.5437485077,0.8022641625,0.8463857442,0.7924342413,0.9081926797,0.9773531535,0.858249421,0.7978574212,0.8972945287,0.8353374951,0.8499195096,0.9817554331,0.9131939727,1.032314945,0.9561280648,0.9491193259,0.8933113429,0.8667688053,0.7786357722,1.086760577,0.7901127942,0.9536593642,0.7928290814,0.8189385151,0.5951002301,0.6717025674,0.8351263624,0.8439697358,0.9211840317,0.8591630652,0.9823238432,0.9595968721,0.828153927,0.9782294003,0.9640418916,0.8377360926,0.8294282062,0.7951215391,0.7892022556,0.6775436061,0.7986000713,0.694105991
Sub-03,1,MT,0.8835140094,0.715060438,0.8196537268,1.188493172,1.461841755,0.6861207096,1.196307759,0.9664412248,0.9840520052,1.005816759,0.4320539661,0.8519544075,0.688088592,1.034750969,0.8963831338,0.932431324,0.7883167323,0.8421222977,0.7088549226,0.9364610583,0.6982545926,0.8621518242,0.8753445804,0.9546025179,0.8990657346,0.8502119626,0.9485612048,0.9446611328,0.9073007482,0.9584423561,0.8887300611,0.9626555044,1.08359221,0.9012636723,0.8826348718,0.908248253,0.9198841665,0.9640124538,0.8812555624,0.904330456,0.8076992836,0.8411120643,0.7273376185,0.6376349399,0.9326175223,0.8801786462,0.8353818106,0.9919479491,1.004634871,0.8762612725,0.7102434988,0.9263674548,0.9222148184,0.9088586844,0.7732220311,0.8715358335,0.8265217602,0.7439297844,0.8926834422,0.8885658751
Sub-04,1,MT,0.9171780671,0.8103229046,0.9701274392,1.323905354,1.581430392,0.7239950124,1.255585115,0.9788097493,1.099643827,1.170670678,0.832667004,0.9662923723,0.7891527204,1.087648474,1.103177763,0.9907623488,0.8850970022,0.9364230286,0.7767624603,0.839333161,1.050155954,0.8715906078,1.124013884,1.214982621,1.000130289,0.9439767766,1.04131908,1.063592537,1.004222529,1.187310101,1.228689163,1.063161553,1.181342324,1.076949304,1.086935541,1.021996045,1.262937178,1.048224523,0.9874972501,1.05334818,0.9986161266,1.054140642,0.8344581476,0.8482259218,0.857197319,1.113141049,0.9486072037,0.786432911,1.237090025,1.021867099,0.9109255782,1.183722089,1.079759419,1.112344896,1.144058389,1.11394471,0.8486216226,0.8247614879,1.027566326,0.8501233211
Sub-05,1,MT,0.813790655,0.7336282136,0.9667966409,1.17477959,1.454636872,0.6825077851,1.169740783,0.9224466024,0.9787524683,0.9758449677,0.7104290116,0.9259398306,0.795914354,0.9949511304,1.004524946,0.8643656305,0.7653215447,0.9340011472,0.7113257804,0.6932562542,0.8325917613,0.7395017634,0.9786871164,1.053306228,0.8677935741,0.7224000529,0.9304002827,0.852265597,0.8856913626,0.9749241049,1.042622068,0.8926807344,0.6791017376,0.5777068524,0.8290669011,0.9513794642,1.085529364,0.9680555865,0.9604330718,0.8667289774,0.7820644797,0.7795398736,0.5881064328,0.7566770262,0.7598521876,0.9515598699,0.8622664028,0.7126596308,0.9822864084,0.9329672832,0.7524622516,0.9939232508,0.8644556461,0.9520614629,0.9089396826,0.7862299839,0.9100347586,0.768258898,0.9574868204,0.7140304195
Sub-06,1,MT,0.8064661616,0.690286388,0.9525983808,1.262236848,1.470311506,0.7159963373,1.198287952,0.9555460394,1.001444011,1.039801998,0.6025513494,0.8865302362,0.744670465,0.894908747,0.9782480858,1.03360416,0.8283701862,1.007891673,0.7395778575,0.844569785,0.7231089897,0.8142009564,1.018082469,0.9565963427,0.9028975397,0.6172910014,0.7501065581,0.941618337,0.962110732,0.9716333066,0.9576662652,0.9598902804,1.208425346,1.041118961,1.003508437,0.8939647512,0.9875643241,0.6640951068,0.917590813,0.8702668291,0.9504593956,0.9725647536,0.6867095814,0.8097445206,1.043536301,0.995496106,0.7524770097,0.860105429,0.9911278252,1.054330266,0.7233807161,1.031423514,1.115912865,0.8909328679,1.136891154,0.9018501259,0.8316961162,0.7119054567,0.8570243876,0.977362016
Sub-01,2,MT,0.811588826,0.7299629335,0.9301121984,1.224650779,1.456959189,0.715150707,1.137247247,0.9349219713,1.038509256,1.072477269,0.721355422,0.8730643588,0.7074309057,0.9692510793,0.9599843871,0.9235554192,0.8001665536,0.9027907746,0.678799623,0.8273341199,0.8732464268,0.8715974749,0.9688587643,1.072869317,0.8927663862,0.835726239,0.9695005698,0.8132849789,0.9736115316,1.010119231,1.014420588,0.9506690653,0.858410432,0.8967705208,1.027502795,0.9306287681,1.085323702,1.051555535,0.9507119472,1.096426526,0.923581791,0.9399197896,0.734469047,0.7495016439,0.941247839,0.8821249972,0.9383753584,0.7574483114,1.063393154,0.8427099934,0.8429832638,1.070835173,1.035067266,0.9706652441,0.999376473,0.9588237758,0.8988935199,0.7112285501,0.9547321907,0.8180091744
Sub-02,2,MT,1.097898488,0.7744988249,0.9214230898,1.221020267,1.488053481,0.7174639635,1.232311721,1.000802733,1.061501574,0.986190942,0.6022165367,0.8585240572,0.7115262911,0.9405186573,0.9073925216,1.006393626,0.706315401,0.8207905165,0.5716620945,0.7937556154,0.8924104292,0.804384643,0.924999618,0.945810466,0.8743150108,0.8325044768,0.8381692708,0.8797849487,0.8774301136,1.047823787,0.9185017142,1.015623877,1.006186224,0.9966526372,0.9666137083,0.8894490999,0.7837085586,1.079785518,0.8292317629,0.9739284509,0.8264070536,0.8728322051,0.6176448802,0.7132682168,0.8481440044,0.916096078,0.9214213153,0.8844397729,1.065595316,1.007328691,0.8332743602,1.049676543,1.013350795,0.8718804411,0.8412561956,0.8594193956,0.8108593882,0.695285503,0.838447977,0.7253109147
Sub-03,2,MT,0.856592048,0.7405753353,0.7953331646,1.195877926,1.445440383,0.6758674573,1.211807677,0.958159935,0.9915233447,1.028219934,0.404004025,0.825347486,0.6727438164,1.022308924,0.8763582621,0.9399510292,0.7925744077,0.8375295258,0.71498383,0.9239087383,0.7261446355,0.8612235601,0.8798232573,0.9526472679,0.9074451113,0.8499356562,0.9436959145,0.9381449312,0.9071496342,0.9461834677,0.8877943857,0.9466065242,1.079702946,0.9206099729,0.8751367104,0.8964652246,0.980780937,0.9791205939,0.8774659951,0.8859256014,0.7936854966,0.8166063444,0.7118295848,0.6271398091,0.9489206417,0.8776970211,0.8179585128,0.9619583002,1.008914062,0.8798826925,0.6755633658,0.9288807246,0.9122630678,0.9057084577,0.7727617788,0.8507363982,0.8337262864,0.7412162811,0.88090592,0.8766376595
Sub-04,2,MT,0.9517259528,0.7793667072,0.9600973554,1.362688067,1.556452569,0.6922158236,1.233222723,0.9802660296,1.06821217,1.091277986,0.8296268486,0.938176367,0.7939233826,1.081914497,1.109066866,0.9923651197,0.8780941184,0.9296305374,0.7797567708,0.8468367367,1.042117444,0.8671471332,1.088635544,1.216069513,0.9652617071,0.9489787217,1.050414323,1.06036165,1.008268844,1.150254298,1.219277514,1.06550462,1.149291419,1.050410295,1.052481775,1.024058732,1.22912965,1.02699308,0.9703558467,1.053693701,0.9911709311,1.043977074,0.8414844148,0.8265546551,0.8242131383,1.087449127,0.9557389433,0.7531933508,1.219276498,1.017382086,0.8843676283,1.168573145,1.067938064,1.113004557,1.136079909,1.096799413,0.8472148766,0.809418144,1.001408742,0.8261711608
